ANNO DI RIFERIMENTO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;CODICE SERD;DENOMINAZIONE SERD;CODICE QUALIFICA;DESCRIZIONE QUALIFICA;NUM. DIP. TEMPO PIENO;NUM. DIP. TEMPO PIENO U;NUM. DIP. TEMPO PIENO D;NUM. DIP. PART TIME FINO 50%;NUM. DIP. PART TIME FINO 50% U;NUM. DIP. PART TIME FINO 50% D;NUM. DIP. PART TIME OLTRE 50%;NUM. DIP. PART TIME OLTRE 50% U;NUM. DIP. PART TIME OLTRE 50% D;PERSONALE DIPENDENTE;PERSONALE DIPENDENTE U;PERSONALE DIPENDENTE D;ALTRO RAPPORTO;ALTRO RAPPORTO U;ALTRO RAPPORTO D;TOTALE PERSONALE,,
2021;010;PIEMONTE             ;203;TO3;S16; Servizio per le dipendenze di VIA ROMA 22;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S16; Servizio per le dipendenze di VIA ROMA 22;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S17; Servizio per le dipendenze di VIA GUARDIA PIEMONTESE 22A;SSMP05;EDUCATORE PROFESSIONALE;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S17; Servizio per le dipendenze di VIA GUARDIA PIEMONTESE 22A;TSMP02;ASSISTENTE SOCIALE;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;0SMP01;ALTRO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;ASMP01;PERSONALE AMMINISTRATIVO;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;SSMP01;MEDICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;SSMP03;PERSONALE INFERMIERISTICO;5;0;5;0;0;0;0;0;0;5;0;5;0;0;0;5,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S18; Servizio per le dipendenze di VIALE CASTELFIDARDO 16;TSMP02;ASSISTENTE SOCIALE;3;0;3;0;0;0;0;0;0;3;0;3;0;0;0;3,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;SSMP01;MEDICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;SSMP02;PSICOLOGO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;SSMP03;PERSONALE INFERMIERISTICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;SSMP05;EDUCATORE PROFESSIONALE;4;0;4;0;0;0;0;0;0;4;0;4;0;0;0;4,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;TSMP01;OTA/O.S.S.;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;203;TO3;S19; Servizio per le dipendenze di VIA DELLE FORNACI 4;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;SSMP01;MEDICO;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;2,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;SSMP02;PSICOLOGO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;SSMP03;PERSONALE INFERMIERISTICO;3;0;3;0;0;0;1;0;1;4;0;4;0;0;0;4,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;SSMP05;EDUCATORE PROFESSIONALE;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S01; Servizio per le dipendenze di VIA MAZZINI 13;TSMP01;OTA/O.S.S.;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S02; Servizio per le dipendenze di VIA BOCCIARELLI 2;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S02; Servizio per le dipendenze di VIA BOCCIARELLI 2;SSMP05;EDUCATORE PROFESSIONALE;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;SSMP01;MEDICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;SSMP02;PSICOLOGO;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;3,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;SSMP03;PERSONALE INFERMIERISTICO;6;1;5;0;0;0;1;0;1;7;1;6;0;0;0;7,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;SSMP05;EDUCATORE PROFESSIONALE;2;1;1;0;0;0;1;0;1;3;1;2;0;0;0;3,,
2021;010;PIEMONTE             ;204;TO4;S03; Servizio per le dipendenze di VIA PO 11;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S05; Servizio per le dipendenze di VIA DON PAVIOLO 5;SSMP01;MEDICO;1;0;1;0;0;0;1;0;1;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S05; Servizio per le dipendenze di VIA DON PAVIOLO 5;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;4;0;4;5,,
2021;010;PIEMONTE             ;204;TO4;S05; Servizio per le dipendenze di VIA DON PAVIOLO 5;SSMP03;PERSONALE INFERMIERISTICO;2;1;1;0;0;0;2;0;2;4;1;3;0;0;0;4,,
2021;010;PIEMONTE             ;204;TO4;S05; Servizio per le dipendenze di VIA DON PAVIOLO 5;SSMP05;EDUCATORE PROFESSIONALE;8;5;3;0;0;0;0;0;0;8;5;3;0;0;0;8,,
2021;010;PIEMONTE             ;204;TO4;S05; Servizio per le dipendenze di VIA DON PAVIOLO 5;TSMP01;OTA/O.S.S.;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S07; Servizio per le dipendenze di PIAZZA CAVOUR 1;SSMP05;EDUCATORE PROFESSIONALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S18; Servizio per le dipendenze di VIA PIAVE 13;SSMP01;MEDICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S18; Servizio per le dipendenze di VIA PIAVE 13;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S18; Servizio per le dipendenze di VIA PIAVE 13;SSMP03;PERSONALE INFERMIERISTICO;4;0;4;0;0;0;1;0;1;5;0;5;1;0;1;6,,
2021;010;PIEMONTE             ;204;TO4;S18; Servizio per le dipendenze di VIA PIAVE 13;SSMP05;EDUCATORE PROFESSIONALE;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S18; Servizio per le dipendenze di VIA PIAVE 13;TSMP02;ASSISTENTE SOCIALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;SSMP01;MEDICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;SSMP02;PSICOLOGO;2;0;2;0;0;0;0;0;0;2;0;2;2;0;2;4,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;SSMP03;PERSONALE INFERMIERISTICO;4;1;3;0;0;0;1;0;1;5;1;4;0;0;0;5,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;TSMP01;OTA/O.S.S.;1;1;0;1;0;1;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;204;TO4;S19; Servizio per le dipendenze di VIA ALDISIO 2;TSMP02;ASSISTENTE SOCIALE;1;1;0;0;0;0;1;0;1;2;1;1;1;0;1;3,,
2021;010;PIEMONTE             ;204;TO4;S20; Servizio per le dipendenze di VIA ROMA 22;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;2,,
2021;010;PIEMONTE             ;204;TO4;S20; Servizio per le dipendenze di VIA ROMA 22;SSMP03;PERSONALE INFERMIERISTICO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S20; Servizio per le dipendenze di VIA ROMA 22;SSMP05;EDUCATORE PROFESSIONALE;3;1;2;0;0;0;0;0;0;3;1;2;0;0;0;3,,
2021;010;PIEMONTE             ;204;TO4;S22; Servizio per le dipendenze di N.D.;SSMP01;MEDICO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;204;TO4;S22; Servizio per le dipendenze di N.D.;SSMP02;PSICOLOGO;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;ASMP01;PERSONALE AMMINISTRATIVO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;SSMP01;MEDICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;2,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;SSMP03;PERSONALE INFERMIERISTICO;3;0;3;0;0;0;1;0;1;4;0;4;0;0;0;4,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;SSMP05;EDUCATORE PROFESSIONALE;2;0;2;0;0;0;1;0;1;3;0;3;0;0;0;3,,
2021;010;PIEMONTE             ;205;TO5;S01; Servizio per le dipendenze di VIA SAN GIORGIO 24;TSMP02;ASSISTENTE SOCIALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;SSMP01;MEDICO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;SSMP02;PSICOLOGO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;SSMP03;PERSONALE INFERMIERISTICO;5;0;5;0;0;0;0;0;0;5;0;5;0;0;0;5,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;SSMP05;EDUCATORE PROFESSIONALE;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;TSMP01;OTA/O.S.S.;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S02; Servizio per le dipendenze di VIA PETRARCA FRANCESCO 22;TSMP02;ASSISTENTE SOCIALE;1;0;1;1;1;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S03; Servizio per le dipendenze di VIA BARAVALLE PADRE 5;SSMP01;MEDICO;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1,,
2021;010;PIEMONTE             ;205;TO5;S03; Servizio per le dipendenze di VIA BARAVALLE PADRE 5;SSMP02;PSICOLOGO;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1,,
2021;010;PIEMONTE             ;205;TO5;S03; Servizio per le dipendenze di VIA BARAVALLE PADRE 5;SSMP03;PERSONALE INFERMIERISTICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S03; Servizio per le dipendenze di VIA BARAVALLE PADRE 5;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S03; Servizio per le dipendenze di VIA BARAVALLE PADRE 5;TSMP02;ASSISTENTE SOCIALE;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;SSMP01;MEDICO;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;SSMP02;PSICOLOGO;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;2,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;SSMP03;PERSONALE INFERMIERISTICO;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;TSMP01;OTA/O.S.S.;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;205;TO5;S04; Servizio per le dipendenze di VIA S.FRANCESCO D'ASSISI35;TSMP02;ASSISTENTE SOCIALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S01; Servizio per le dipendenze di VIA LUIGI BRUZZA 3;ASMP01;PERSONALE AMMINISTRATIVO;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;206;VC;S01; Servizio per le dipendenze di VIA LUIGI BRUZZA 3;SSMP01;MEDICO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S01; Servizio per le dipendenze di VIA LUIGI BRUZZA 3;SSMP02;PSICOLOGO;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1,,
2021;010;PIEMONTE             ;206;VC;S01; Servizio per le dipendenze di VIA LUIGI BRUZZA 3;SSMP03;PERSONALE INFERMIERISTICO;4;0;4;0;0;0;0;0;0;4;0;4;0;0;0;4,,
2021;010;PIEMONTE             ;206;VC;S01; Servizio per le dipendenze di VIA LUIGI BRUZZA 3;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;206;VC;S03; Servizio per le dipendenze di NUOVO OSP.CASCINE D'AGNONA;SSMP01;MEDICO;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S03; Servizio per le dipendenze di NUOVO OSP.CASCINE D'AGNONA;SSMP03;PERSONALE INFERMIERISTICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S03; Servizio per le dipendenze di NUOVO OSP.CASCINE D'AGNONA;SSMP05;EDUCATORE PROFESSIONALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S05; Servizio per le dipendenze di C. CIRCONDARIALE VERCELLI;SSMP01;MEDICO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;206;VC;S05; Servizio per le dipendenze di C. CIRCONDARIALE VERCELLI;SSMP03;PERSONALE INFERMIERISTICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;206;VC;S05; Servizio per le dipendenze di C. CIRCONDARIALE VERCELLI;SSMP05;EDUCATORE PROFESSIONALE;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;ASMP01;PERSONALE AMMINISTRATIVO;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;SMS046;DI CUI PSICHIATRI;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;SSMP01;MEDICO;5;1;4;0;0;0;0;0;0;5;1;4;0;0;0;5,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;SSMP02;PSICOLOGO;4;1;3;0;0;0;0;0;0;4;1;3;0;0;0;4,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;SSMP03;PERSONALE INFERMIERISTICO;5;0;5;0;0;0;0;0;0;5;0;5;0;0;0;5,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;SSMP05;EDUCATORE PROFESSIONALE;3;0;3;0;0;0;0;0;0;3;0;3;0;0;0;3,,
2021;010;PIEMONTE             ;207;BI;S01; Servizio per le dipendenze di VIA DELLEANI 22;TSMP02;ASSISTENTE SOCIALE;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;ASMP01;PERSONALE AMMINISTRATIVO;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;SMS046;DI CUI PSICHIATRI;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;SSMP01;MEDICO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;SSMP02;PSICOLOGO;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;SSMP03;PERSONALE INFERMIERISTICO;3;1;2;0;0;0;0;0;0;3;1;2;0;0;0;3,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;SSMP05;EDUCATORE PROFESSIONALE;3;2;1;0;0;0;0;0;0;3;2;1;0;0;0;3,,
2021;010;PIEMONTE             ;207;BI;S02; Servizio per le dipendenze di VIA MARCONI 166/A;TSMP02;ASSISTENTE SOCIALE;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1,,
2021;010;PIEMONTE             ;208;NO;S01; Servizio per le dipendenze di VIA MONTE SAN GABRIELE 4;ASMP01;PERSONALE AMMINISTRATIVO;2;1;1;0;0;0;0;0;0;2;1;1;0;0;0;2,,
